Código TACO,Descrição,Grupo,Fonte CMV,Fonte AG,Fonte AA,Umidade (%),Energia (kcal),Energia (kJ),Proteína (g),Lipídeos (g),Colesterol (mg),Carboidrato (g),Fibra Alimentar (g),Cinzas (g),Cálcio (mg),Magnésio (mg),Manganês (mg),Fósforo (mg),Ferro (mg),Sódio (mg),Potássio (mg),Cobre (mg),Zinco (mg),Retinol (mcg),RE (mcg),RAE (mcg),Tiamina (mg),Riboflavina (mg),Piridoxina (mg),Niacina (mg),Vitamina C (mg),AG - Saturados (g),AG - Mono-insaturados (g),AG - Poli-insaturados (g),AG - 12:0 (g),AG - 14:0 (g),AG - 16:0 (g),AG - 18:0 (g),AG - 20:0 (g),AG - 22:0 (g),AG - 24:0 (g),AG - 14:1 (g),AG - 16:1 (g),AG - 18:1 (g),AG - 20:1 (g),AG - 18:2 n-6 (g),AG - 18:3 n-3 (g),AG - 20:4 (g),AG - 20:5 (g),AG - 22:5 (g),AG - 22:6 (g),AG - 18:1t (g),AG - 18:2t (g),AA - Triptofano (g),AA - Treonina (g),AA - Isoleucina (g),AA - Leucina (g),AA - Lisina (g),AA - Metionina (g),AA - Cistina (g),AA - Fenilalanina (g),AA - Tirosina (g),AA - Valina (g),AA - Arginina (g),AA - Histidina (g),AA - Alanina (g),AA - Ácido Aspártico (g),AA - Ácido Glutâmico (g),AA - Glicina (g),AA - Prolina (g),AA - Serina (g)
354,"Carne, bovina, cupim, cru",Carnes e derivados,Sim,Sim,,64.83,221.3975,926.32714,19.536666666666665,15.296666666666667,50.95,0.0,,0.88,3.5666666666666664,12.76,0.0,220.12666666666667,1.13,46.86,150.58,0.028666666666666663,2.4233333333333333,2.703333333333333,2.703333333333333,2.703333333333333,0.11333333333333333,0.05,0.03,3.33,,6.8,6.4,0.2,0.01,0.46,3.8,2.06,0.01,0.01,,,0.71,5.56,0.04,0.15,0.06,,,,,0.3,0.03,,,,,,,,,,,,,,,,,,
355,"Carne, bovina, fígado, cru",Carnes e derivados,Sim,Sim,,71.33,141.04586666666665,590.1359061333333,20.713333333333335,5.3566666666666665,392.883,1.106666666666668,,1.4933333333333334,4.156666666666666,12.42,0.26,334.16333333333336,5.626666666666666,75.92,264.5,9.006666666666668,3.4633333333333334,7936.7,7936.7,7936.7,0.1366666666666667,0.9033333333333333,0.0,10.66,,2.79,1.5,0.1,0.0,0.18,1.28,1.44,0.01,0.01,0.0,,0.09,1.43,0.01,0.05,0.0,0.0,,0.0,,0.16,0.05,,,,,,,,,,,,,,,,,,
356,"Carne, bovina, fígado, grelhado",Carnes e derivados,Sim,Sim,,54.97,225.0264,941.5104576,29.86,9.01,601.47,4.2,,1.96,5.56,9.696666666666665,0.21666666666666667,419.9166666666667,5.79,82.19,309.37,12.576666666666666,3.95,14574.0,14574.0,14574.0,0.21333333333333335,2.6933333333333334,0.0,11.923333333333334,,4.7,2.2,1.1,,0.14,2.3,1.86,0.01,0.12,0.02,,0.23,1.89,,0.37,0.1,0.31,0.07,0.16,0.04,0.09,0.02,,,,,,,,,,,,,,,,,,
357,"Carne, bovina, filé mingnon, sem gordura, cru",Carnes e derivados,Sim,Sim,,71.89,142.86426666666665,597.7440917333333,21.6,5.613333333333333,54.763,0.0,,1.0733333333333335,2.93,21.39,0.008,192.76,1.92,48.86,321.5333333333333,0.07966666666666666,2.7533333333333334,3.63,3.63,3.63,0.11666666666666665,0.09666666666666668,0.04,1.7766666666666666,,2.9,1.9,0.2,,0.17,1.44,1.16,0.01,0.01,,,0.15,1.69,0.01,0.11,0.02,0.03,0.01,,,0.1,0.01,,,,,,,,,,,,,,,,,,
358,"Carne, bovina, filé mingnon, sem gordura, grelhado",Carnes e derivados,Sim,Sim,,56.99666666666667,219.70259999999996,919.2356783999999,32.8,8.83,102.88,0.0,,1.3266666666666669,4.31,28.26,0.02,308.13666666666666,2.87,57.906666666666666,325.98,0.14,4.133333333333333,0.0,0.0,0.0,0.03,0.08,0.04666666666666667,4.266666666666667,,4.5,3.1,0.2,,0.25,2.21,1.76,0.01,,0.01,,0.23,2.87,,0.16,0.02,0.02,,,,0.14,0.02,,,,,,,,,,,,,,,,,,
359,"Carne, bovina, flanco, sem gordura, cozido",Carnes e derivados,Sim,Sim,,61.98333333333333,195.5753666666667,818.2873341333335,29.37666666666667,7.77,62.004,0.0,,0.8566666666666666,3.533333333333333,13.613333333333335,0.0,181.45,2.77,41.68,248.8,0.07333333333333335,5.553333333333334,1.76,1.76,1.76,0.0,0.0,0.0,2.32,,3.9,2.8,0.1,,0.27,2.07,1.4,0.01,,,,0.28,2.49,0.01,0.08,0.01,,,,,0.16,,,,,,,,,,,,,,,,,,,
360,"Carne, bovina, flanco, sem gordura, cru",Carnes e derivados,Sim,Sim,,72.07,141.46009999999998,591.8690584,19.996666666666666,6.216666666666666,50.3,0.0,,0.97,2.813333333333333,17.846666666666668,0.0,166.7266666666667,1.58,54.223333333333336,324.11,0.04666666666666667,4.45,2.016666666666667,2.016666666666667,2.016666666666667,0.11,0.16333333333333333,0.0,3.276666666666667,,3.1,2.3,0.1,,0.19,1.65,1.13,0.01,,,,0.18,2.09,,0.07,0.01,0.01,,,,0.11,0.02,,,,,,,,,,,,,,,,,,
361,"Carne, bovina, fraldinha, com gordura, cozida",Carnes e derivados,Sim,Sim,,49.723333333333336,338.44573333333335,1416.0569482666667,24.24,26.046666666666667,64.87,0.0,,0.7466666666666667,3.2133333333333334,14.476666666666667,0.0,160.58,2.03,38.78333333333333,206.76333333333332,0.07333333333333335,6.5,0.0,0.0,0.0,0.0,0.05333333333333334,0.07,1.6066666666666667,,12.1,10.4,0.5,0.02,0.95,6.35,3.98,0.02,,,,1.1,9.07,0.07,0.29,0.12,0.05,,,,0.5,0.05,,,,,,,,,,,,,,,,,,
362,"Carne, bovina, fraldinha, com gordura, crua",Carnes e derivados,Sim,Sim,,65.44333333333334,220.72376666666662,923.5082397333332,17.583333333333332,16.146666666666665,54.34,0.0,,0.8566666666666666,3.106666666666667,16.116666666666667,0.004,131.39666666666668,1.5433333333333332,51.2,274.1166666666666,0.04466666666666667,4.193333333333333,4.6433333333333335,4.6433333333333335,4.6433333333333335,0.08333333333333333,0.07333333333333335,0.03,3.563333333333333,,7.3,6.5,0.3,0.01,0.59,3.77,2.39,0.01,,,,0.71,5.63,0.06,0.16,0.09,0.01,,,,0.43,,,,,,,,,,,,,,,,,,,
363,"Carne, bovina, lagarto, cozido",Carnes e derivados,Sim,Sim,,57.63,222.46856666666667,930.8084829333334,32.86333333333334,9.106666666666667,55.7,0.0,,0.8766666666666666,3.533333333333333,12.956666666666669,0.0,167.2733333333333,1.85,47.54333333333333,254.44,0.04666666666666667,6.96,2.8966666666666665,2.8966666666666665,2.8966666666666665,0.0,0.0,0.0,2.546666666666667,,3.9,4.0,0.2,,0.22,2.22,1.25,0.01,0.02,,,0.42,3.54,0.01,0.12,0.02,0.01,,,,0.15,0.07,,,,,,,,,,,,,,,,,,
